price|quantity|type|timestamp
4539000|9.4301|0|2024-04-28 00:00:01
4538000|4.2077|0|2024-04-28 00:00:01
4534000|18.7852|0|2024-04-28 00:00:01
4532000|4.7135|0|2024-04-28 00:00:01
4531000|7.0818|0|2024-04-28 00:00:01
4540000|3.0881|1|2024-04-28 00:00:01
4541000|20.7993|1|2024-04-28 00:00:01
4542000|4.6594|1|2024-04-28 00:00:01
4543000|2.2701|1|2024-04-28 00:00:01
4544000|6.5329|1|2024-04-28 00:00:01
4539000|9.4301|0|2024-04-28 00:00:01
4538000|4.2077|0|2024-04-28 00:00:01
4534000|18.7852|0|2024-04-28 00:00:01
4532000|4.7135|0|2024-04-28 00:00:01
4531000|7.0818|0|2024-04-28 00:00:01
4540000|3.0881|1|2024-04-28 00:00:01
4541000|20.7993|1|2024-04-28 00:00:01
4542000|4.6594|1|2024-04-28 00:00:01
4543000|2.2701|1|2024-04-28 00:00:01
4544000|6.5329|1|2024-04-28 00:00:01
4538000|0.0012|0|2024-04-28 00:00:06
4535000|0.5634|0|2024-04-28 00:00:06
4534000|18.7852|0|2024-04-28 00:00:06
4532000|4.7135|0|2024-04-28 00:00:06
4531000|7.0818|0|2024-04-28 00:00:06
4541000|0.0459|1|2024-04-28 00:00:06
4542000|1.6594|1|2024-04-28 00:00:06
4543000|1.0|1|2024-04-28 00:00:06
4544000|9.7034|1|2024-04-28 00:00:06
4545000|96.7551|1|2024-04-28 00:00:06
4538000|0.0012|0|2024-04-28 00:00:11
4536000|0.101|0|2024-04-28 00:00:11
4535000|0.5634|0|2024-04-28 00:00:11
4534000|19.3486|0|2024-04-28 00:00:11
4532000|3.4434|0|2024-04-28 00:00:11
4539000|0.0952|1|2024-04-28 00:00:11
4542000|1.0|1|2024-04-28 00:00:11
4543000|15.0|1|2024-04-28 00:00:11
4544000|6.0934|1|2024-04-28 00:00:11
4545000|96.7551|1|2024-04-28 00:00:11
4538000|0.0012|0|2024-04-28 00:00:16
4535000|1.9467|0|2024-04-28 00:00:16
4534000|18.7852|0|2024-04-28 00:00:16
4532000|3.4434|0|2024-04-28 00:00:16
4531000|4.4718|0|2024-04-28 00:00:16
4539000|0.0952|1|2024-04-28 00:00:16
4542000|2.7758|1|2024-04-28 00:00:16
4543000|15.0022|1|2024-04-28 00:00:16
4544000|9.7034|1|2024-04-28 00:00:16
4545000|96.7551|1|2024-04-28 00:00:16
4538000|0.0012|0|2024-04-28 00:00:21
4535000|1.9873|0|2024-04-28 00:00:21
4534000|15.0012|0|2024-04-28 00:00:21
4533000|7.5989|0|2024-04-28 00:00:21
4532000|7.0534|0|2024-04-28 00:00:21
4539000|4.0952|1|2024-04-28 00:00:21
4541000|0.5652|1|2024-04-28 00:00:21
4542000|1.6454|1|2024-04-28 00:00:21
4543000|16.2786|1|2024-04-28 00:00:21
4544000|9.7034|1|2024-04-28 00:00:21
4538000|0.0012|0|2024-04-28 00:00:26
4536000|0.0155|0|2024-04-28 00:00:26
4535000|1.9873|0|2024-04-28 00:00:26
4534000|15.0012|0|2024-04-28 00:00:26
4533000|3.9889|0|2024-04-28 00:00:26
4539000|4.0916|1|2024-04-28 00:00:26
4541000|0.5652|1|2024-04-28 00:00:26
4542000|1.6493|1|2024-04-28 00:00:26
4543000|15.0094|1|2024-04-28 00:00:26
4544000|9.7034|1|2024-04-28 00:00:26
4538000|0.0012|0|2024-04-28 00:00:31
4536000|0.0155|0|2024-04-28 00:00:31
4535000|0.0406|0|2024-04-28 00:00:31
4534000|1.8469|0|2024-04-28 00:00:31
4533000|15.0|0|2024-04-28 00:00:31
4539000|4.652|1|2024-04-28 00:00:31
4540000|3.7371|1|2024-04-28 00:00:31
4541000|16.0|1|2024-04-28 00:00:31
4542000|4.61|1|2024-04-28 00:00:31
4543000|9.7915|1|2024-04-28 00:00:31
4538000|0.0012|0|2024-04-28 00:00:36
4536000|0.0155|0|2024-04-28 00:00:36
4535000|0.0406|0|2024-04-28 00:00:36
4534000|0.0012|0|2024-04-28 00:00:36
4533000|1.8457|0|2024-04-28 00:00:36
4539000|8.3867|1|2024-04-28 00:00:36
4540000|1.0|1|2024-04-28 00:00:36
4541000|16.0|1|2024-04-28 00:00:36
4542000|4.61|1|2024-04-28 00:00:36
4543000|9.7915|1|2024-04-28 00:00:36
4538000|0.0012|0|2024-04-28 00:00:41
4536000|0.0155|0|2024-04-28 00:00:41
4535000|0.0406|0|2024-04-28 00:00:41
4534000|1.8469|0|2024-04-28 00:00:41
4533000|3.61|0|2024-04-28 00:00:41
4539000|11.9967|1|2024-04-28 00:00:41
4540000|1.0|1|2024-04-28 00:00:41
4541000|21.54|1|2024-04-28 00:00:41
4542000|6.54|1|2024-04-28 00:00:41
4543000|9.7915|1|2024-04-28 00:00:41
4538000|0.0012|0|2024-04-28 00:00:46
4536000|0.0155|0|2024-04-28 00:00:46
4535000|0.0406|0|2024-04-28 00:00:46
4534000|1.8469|0|2024-04-28 00:00:46
4533000|3.61|0|2024-04-28 00:00:46
4539000|11.9967|1|2024-04-28 00:00:46
4540000|1.0|1|2024-04-28 00:00:46
4541000|21.54|1|2024-04-28 00:00:46
4542000|6.54|1|2024-04-28 00:00:46
4543000|100.0112|1|2024-04-28 00:00:46
4538000|0.0012|0|2024-04-28 00:00:51
